InvoiceNo,StockCode,ProductsCategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Cities,Tax 5%,Total,Gender,Payment
561904,22075,Organic Fruits,96,01-08-2021 08:30,1.45,17941,Mumbai,139.2,6.96,Male,Cash
561904,85049E,Cakes,156,01-08-2021 08:30,1.06,17941,Mumbai,165.36,8.268,Male,Credit card
561905,21385,Masalas,24,01-08-2021 09:31,0.85,14947,Mumbai,20.4,1.02,Male,Credit card
561905,84970L,Organic Fruits,12,01-08-2021 09:31,0.95,14947,Mumbai,11.4,0.57,Male,Cash
561905,84970S,Spices,12,01-08-2021 09:31,0.85,14947,Mumbai,10.2,0.51,Male,Cash
561905,84978,Organic Fruits,12,01-08-2021 09:31,1.25,14947,Mumbai,15,0.75,Male,Cash
561905,21754,Organic Vegetables,3,01-08-2021 09:31,5.95,14947,Mumbai,17.85,0.8925,Female,Credit card
561905,23226,Organic Vegetables,24,01-08-2021 09:31,1.25,14947,Mumbai,30,1.5,Male,Cash
561905,21715,Masalas,8,01-08-2021 09:31,2.55,14947,Mumbai,20.4,1.02,Female,Ewallet
561905,21716,Breads & Buns,8,01-08-2021 09:31,2.55,14947,Mumbai,20.4,1.02,Female,Credit card
561905,21746,Organic Staples,12,01-08-2021 09:31,1.25,14947,Mumbai,15,0.75,Female,Ewallet
561905,21755,Mutton,3,01-08-2021 09:31,5.95,14947,Mumbai,17.85,0.8925,Male,Ewallet
561906,22367,Cakes,8,01-08-2021 10:03,1.95,12921,Mumbai,15.6,0.78,Female,Credit card
561906,20914,Health Drinks,6,01-08-2021 10:03,2.95,12921,Mumbai,17.7,0.885,Female,Credit card
561906,21240,Health Drinks,16,01-08-2021 10:03,0.85,12921,Mumbai,13.6,0.68,Female,Ewallet
561906,20725,Masalas,20,01-08-2021 10:03,1.65,12921,Mumbai,33,1.65,Male,Ewallet
561906,20726,Dals & Pulses,20,01-08-2021 10:03,1.65,12921,Mumbai,33,1.65,Female,Credit card
561906,22382,Masalas,10,01-08-2021 10:03,1.65,12921,Mumbai,16.5,0.825,Male,Ewallet
561906,22629,Fresh Vegetables,12,01-08-2021 10:03,1.95,12921,Mumbai,23.4,1.17,Female,Credit card
561906,22384,Biscuits,20,01-08-2021 10:03,1.65,12921,Mumbai,33,1.65,Male,Cash
561906,23206,Cakes,20,01-08-2021 10:03,1.65,12921,Mumbai,33,1.65,Female,Credit card
561906,23209,Soft Drinks,20,01-08-2021 10:03,1.65,12921,Mumbai,33,1.65,Female,Credit card
561906,22898,Atta & Flour,8,01-08-2021 10:03,1.95,12921,Mumbai,15.6,0.78,Male,Ewallet
561906,21035,Edible Oil & Ghee,6,01-08-2021 10:03,3.25,12921,Mumbai,19.5,0.975,Female,Cash
561906,21217,Biscuits,6,01-08-2021 10:03,9.95,12921,Mumbai,59.7,2.985,Male,Credit card
561906,21155,Fish,6,01-08-2021 10:03,2.55,12921,Mumbai,15.3,0.765,Female,Credit card
561906,21154,Cookies,10,01-08-2021 10:03,1.25,12921,Mumbai,12.5,0.625,Female,Credit card
561906,21094,Soft Drinks,12,01-08-2021 10:03,0.85,12921,Mumbai,10.2,0.51,Female,Credit card
561906,21080,Fish,12,01-08-2021 10:03,0.85,12921,Mumbai,10.2,0.51,Female,Credit card
561906,84991,Cakes,24,01-08-2021 10:03,0.55,12921,Mumbai,13.2,0.66,Male,Cash
561906,21212,Fresh Fruits,24,01-08-2021 10:03,0.55,12921,Mumbai,13.2,0.66,Male,Cash
561906,21977,Masalas,24,01-08-2021 10:03,0.55,12921,Mumbai,13.2,0.66,Male,Ewallet
561906,21975,Edible Oil & Ghee,24,01-08-2021 10:03,0.55,12921,Mumbai,13.2,0.66,Female,Ewallet
561906,84992,Mutton,24,01-08-2021 10:03,0.55,12921,Mumbai,13.2,0.66,Male,Cash
561906,23307,Chocolates,24,01-08-2021 10:03,0.55,12921,Mumbai,13.2,0.66,Male,Cash
561906,23306,Rice,12,01-08-2021 10:03,1.45,12921,Mumbai,17.4,0.87,Female,Credit card
561906,21210,Rice,24,01-08-2021 10:03,1.45,12921,Mumbai,34.8,1.74,Female,Cash
561906,22721,Soft Drinks,3,01-08-2021 10:03,4.95,12921,Mumbai,14.85,0.7425,Female,Cash
561906,22749,Chicken,4,01-08-2021 10:03,3.75,12921,Mumbai,15,0.75,Male,Credit card
561906,22273,Masalas,6,01-08-2021 10:03,2.95,12921,Mumbai,17.7,0.885,Female,Cash
561906,22150,Edible Oil & Ghee,6,01-08-2021 10:03,1.95,12921,Mumbai,11.7,0.585,Male,Credit card
561906,20971,Chocolates,12,01-08-2021 10:03,1.25,12921,Mumbai,15,0.75,Female,Cash
561906,21231,Organic Fruits,24,01-08-2021 10:03,1.25,12921,Mumbai,30,1.5,Female,Cash
561906,21232,Health Drinks,24,01-08-2021 10:03,1.25,12921,Mumbai,30,1.5,Female,Credit card
561907,21982,Masalas,24,01-08-2021 10:08,0.29,14060,Mumbai,6.96,0.348,Male,Credit card
561907,22621,Organic Vegetables,12,01-08-2021 10:08,1.65,14060,Mumbai,19.8,0.99,Female,Credit card
561907,22746,Masalas,6,01-08-2021 10:08,2.1,14060,Mumbai,12.6,0.63,Female,Cash
561907,22748,Health Drinks,6,01-08-2021 10:08,2.1,14060,Mumbai,12.6,0.63,Female,Ewallet
561907,22745,Atta & Flour,6,01-08-2021 10:08,2.1,14060,Mumbai,12.6,0.63,Male,Cash
561907,22547,Fresh Vegetables,24,01-08-2021 10:08,0.42,14060,Mumbai,10.08,0.504,Male,Ewallet
561907,22543,Organic Staples,24,01-08-2021 10:08,0.42,14060,Mumbai,10.08,0.504,Female,Cash
561907,23158,Organic Staples,24,01-08-2021 10:08,2.08,14060,Mumbai,49.92,2.496,Male,Credit card
561907,22781,Fresh Vegetables,2,01-08-2021 10:08,7.65,14060,Mumbai,15.3,0.765,Female,Cash
561907,22178,Fresh Fruits,12,01-08-2021 10:08,1.25,14060,Mumbai,15,0.75,Female,Cash
561907,23232,Biscuits,25,01-08-2021 10:08,0.42,14060,Mumbai,10.5,0.525,Female,Credit card
561907,23233,Cakes,25,01-08-2021 10:08,0.42,14060,Mumbai,10.5,0.525,Female,Credit card
561907,22030,Chocolates,12,01-08-2021 10:08,0.42,14060,Mumbai,5.04,0.252,Male,Ewallet
561907,22815,Eggs,12,01-08-2021 10:08,0.42,14060,Mumbai,5.04,0.252,Male,Ewallet
561907,22984,Cookies,12,01-08-2021 10:08,0.42,14060,Mumbai,5.04,0.252,Female,Ewallet
561907,22817,Fresh Vegetables,12,01-08-2021 10:08,0.42,14060,Mumbai,5.04,0.252,Female,Cash
561907,22718,Chicken,12,01-08-2021 10:08,0.42,14060,Mumbai,5.04,0.252,Male,Cash
561908,23209,Edible Oil & Ghee,10,01-08-2021 10:09,1.65,14239,Mumbai,16.5,0.825,Female,Ewallet
561908,85099F,Cakes,10,01-08-2021 10:09,2.08,14239,Mumbai,20.8,1.04,Female,Cash
561908,22386,Health Drinks,10,01-08-2021 10:09,2.08,14239,Mumbai,20.8,1.04,Male,Credit card
561908,85099B,Mutton,10,01-08-2021 10:09,2.08,14239,Mumbai,20.8,1.04,Female,Ewallet
561908,23199,Soft Drinks,10,01-08-2021 10:09,2.08,14239,Mumbai,20.8,1.04,Female,Cash
561908,23200,Health Drinks,10,01-08-2021 10:09,2.08,14239,Mumbai,20.8,1.04,Female,Ewallet
561909,21876,Dals & Pulses,24,01-08-2021 10:23,1.25,15625,Mumbai,30,1.5,Female,Cash
561909,20725,Soft Drinks,12,01-08-2021 10:23,1.65,15625,Mumbai,19.8,0.99,Male,Ewallet
561909,22966,Organic Vegetables,12,01-08-2021 10:23,1.25,15625,Mumbai,15,0.75,Female,Ewallet
561909,23206,Eggs,10,01-08-2021 10:23,1.65,15625,Mumbai,16.5,0.825,Male,Credit card
561909,15036,Chocolates,48,01-08-2021 10:23,0.83,15625,Mumbai,39.84,1.992,Female,Ewallet
561909,21914,Cookies,48,01-08-2021 10:23,1.25,15625,Mumbai,60,3,Male,Credit card
561909,21915,Biscuits,48,01-08-2021 10:23,1.25,15625,Mumbai,60,3,Male,Ewallet
561909,21877,Soft Drinks,48,01-08-2021 10:23,1.25,15625,Mumbai,60,3,Female,Cash
561910,85123A,Masalas,12,01-08-2021 10:23,2.95,17053,Mumbai,35.4,1.77,Female,Cash
561910,85066,Soft Drinks,6,01-08-2021 10:23,10.95,17053,Mumbai,65.7,3.285,Male,Cash
561910,22637,Noodles,12,01-08-2021 10:23,2.1,17053,Mumbai,25.2,1.26,Male,Cash
561910,22070,Edible Oil & Ghee,12,01-08-2021 10:23,3.39,17053,Mumbai,40.68,2.034,Female,Cash
561910,21844,Masalas,12,01-08-2021 10:23,2.55,17053,Mumbai,30.6,1.53,Female,Credit card
561910,21843,Health Drinks,6,01-08-2021 10:23,9.95,17053,Mumbai,59.7,2.985,Female,Ewallet
561910,21539,Eggs,12,01-08-2021 10:23,4.25,17053,Mumbai,51,2.55,Female,Ewallet
561910,21533,Soft Drinks,12,01-08-2021 10:23,4.25,17053,Mumbai,51,2.55,Male,Cash
561910,21531,Organic Vegetables,6,01-08-2021 10:23,2.1,17053,Mumbai,12.6,0.63,Male,Credit card
561910,21218,Fresh Fruits,6,01-08-2021 10:23,3.25,17053,Mumbai,19.5,0.975,Male,Ewallet
561910,21216,Chicken,12,01-08-2021 10:23,4.25,17053,Mumbai,51,2.55,Male,Cash
561910,20914,Health Drinks,8,01-08-2021 10:23,2.55,17053,Mumbai,20.4,1.02,Male,Credit card
561910,22795,Soft Drinks,6,01-08-2021 10:23,5.95,17053,Mumbai,35.7,1.785,Female,Cash
561911,22652,Cookies,10,01-08-2021 10:26,1.65,12534,Banglore,16.5,0.825,Female,Credit card
561911,85049E,Cookies,12,01-08-2021 10:26,1.25,12534,Banglore,15,0.75,Female,Credit card
