InvoiceNo,StockCode,ProductsCategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Cities,Tax 5%,Total,Gender,Payment
536365,85123A,Masalas,6,01-12-2020 08:26,2.55,17850,Mumbai,15.3,0.765,Female,Ewallet
536365,71053,Health Drinks,6,01-12-2020 08:26,3.39,17850,Mumbai,20.34,1.017,Female,Cash
536365,84406B,Atta & Flour,8,01-12-2020 08:26,2.75,17850,Mumbai,22,1.1,Male,Credit card
536365,84029G,Fresh Vegetables,6,01-12-2020 08:26,3.39,17850,Mumbai,20.34,1.017,Male,Ewallet
536365,84029E,Organic Staples,6,01-12-2020 08:26,3.39,17850,Mumbai,20.34,1.017,Male,Ewallet
536365,22752,Organic Staples,2,01-12-2020 08:26,7.65,17850,Mumbai,15.3,0.765,Male,Ewallet
536365,21730,Fresh Vegetables,6,01-12-2020 08:26,4.25,17850,Mumbai,25.5,1.275,Female,Ewallet
536366,22633,Fresh Fruits,6,01-12-2020 08:28,1.85,17850,Mumbai,11.1,0.555,Female,Ewallet
536366,22632,Biscuits,6,01-12-2020 08:28,1.85,17850,Mumbai,11.1,0.555,Female,Credit card
536367,84879,Cakes,32,01-12-2020 08:34,1.69,13047,Mumbai,54.08,2.704,Female,Credit card
536367,22745,Chocolates,6,01-12-2020 08:34,2.1,13047,Mumbai,12.6,0.63,Female,Ewallet
536367,22748,Eggs,6,01-12-2020 08:34,2.1,13047,Mumbai,12.6,0.63,Male,Cash
536367,22749,Cookies,8,01-12-2020 08:34,3.75,13047,Mumbai,30,1.5,Female,Ewallet
536367,22310,Fresh Vegetables,6,01-12-2020 08:34,1.65,13047,Mumbai,9.9,0.495,Male,Ewallet
536367,84969,Chicken,6,01-12-2020 08:34,4.25,13047,Mumbai,25.5,1.275,Female,Cash
536367,22623,Edible Oil & Ghee,3,01-12-2020 08:34,4.95,13047,Mumbai,14.85,0.7425,Female,Cash
536367,22622,Cakes,2,01-12-2020 08:34,9.95,13047,Mumbai,19.9,0.995,Female,Credit card
536367,21754,Health Drinks,3,01-12-2020 08:34,5.95,13047,Mumbai,17.85,0.8925,Male,Credit card
536367,21755,Mutton,3,01-12-2020 08:34,5.95,13047,Mumbai,17.85,0.8925,Male,Credit card
536367,21777,Soft Drinks,4,01-12-2020 08:34,7.95,13047,Mumbai,31.8,1.59,Female,Ewallet
536367,48187,Health Drinks,4,01-12-2020 08:34,7.95,13047,Mumbai,31.8,1.59,Male,Ewallet
536368,22960,Dals & Pulses,6,01-12-2020 08:34,4.25,13047,Mumbai,25.5,1.275,Male,Ewallet
536368,22913,Soft Drinks,3,01-12-2020 08:34,4.95,13047,Mumbai,14.85,0.7425,Male,Credit card
536368,22912,Organic Vegetables,3,01-12-2020 08:34,4.95,13047,Mumbai,14.85,0.7425,Male,Ewallet
536368,22914,Eggs,3,01-12-2020 08:34,4.95,13047,Mumbai,14.85,0.7425,Male,Ewallet
536369,21756,Chocolates,3,01-12-2020 08:35,5.95,13047,Mumbai,17.85,0.8925,Female,Credit card
536370,22728,Cookies,24,01-12-2020 08:45,3.75,12583,Delhi,90,4.5,Male,Cash
536370,22727,Biscuits,24,01-12-2020 08:45,3.75,12583,Delhi,90,4.5,Female,Credit card
536370,22726,Soft Drinks,12,01-12-2020 08:45,3.75,12583,Delhi,45,2.25,Female,Cash
536370,21724,Masalas,12,01-12-2020 08:45,0.85,12583,Delhi,10.2,0.51,Male,Cash
536370,21883,Soft Drinks,24,01-12-2020 08:45,0.65,12583,Delhi,15.6,0.78,Male,Credit card
536370,10002,Noodles,48,01-12-2020 08:45,0.85,12583,Delhi,40.8,2.04,Male,Cash
536370,21791,Edible Oil & Ghee,24,01-12-2020 08:45,1.25,12583,Delhi,30,1.5,Male,Cash
536370,21035,Masalas,18,01-12-2020 08:45,2.95,12583,Delhi,53.1,2.655,Male,Credit card
536370,22326,Health Drinks,24,01-12-2020 08:45,2.95,12583,Delhi,70.8,3.54,Female,Ewallet
536370,22629,Eggs,24,01-12-2020 08:45,1.95,12583,Delhi,46.8,2.34,Female,Ewallet
536370,22659,Soft Drinks,24,01-12-2020 08:45,1.95,12583,Delhi,46.8,2.34,Male,Ewallet
