InvoiceNo,StockCode,ProductsCategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Cities,Tax 5%,Total,Gender,Payment
C579889,23245,Edible Oil & Ghee,8,01-12-2021 08:12,4.15,13853,Mumbai,33.2,1.66,Female,Ewallet
C579890,84947,Chocolates,1,01-12-2021 08:14,1.25,15197,Mumbai,1.25,0.0625,Female,Cash
C579890,23374,Organic Fruits,1,01-12-2021 08:14,0.82,15197,Mumbai,0.82,0.041,Male,Cash
C579890,84945,Health Drinks,2,01-12-2021 08:14,0.85,15197,Mumbai,1.7,0.085,Female,Credit card
C579891,23485,Masalas,1,01-12-2021 08:18,25,13644,Mumbai,25,1.25,Male,Ewallet
C579891,23186,Organic Vegetables,6,01-12-2021 08:18,0.29,13644,Mumbai,1.74,0.087,Male,Credit card
C579892,23461,Masalas,4,01-12-2021 08:23,4.15,13310,Mumbai,16.6,0.83,Male,Cash
C579893,37449,Health Drinks,2,01-12-2021 08:25,9.95,13468,Mumbai,19.9,0.995,Female,Cash
C579894,23012,Atta & Flour,1,01-12-2021 08:26,3.95,13098,Mumbai,3.95,0.1975,Male,Ewallet
C579894,23568,Fresh Vegetables,1,01-12-2021 08:26,1.25,13098,Mumbai,1.25,0.0625,Male,Credit card
C579894,23319,Organic Staples,6,01-12-2021 08:26,2.08,13098,Mumbai,12.48,0.624,Male,Ewallet
C579895,23374,Organic Staples,5,01-12-2021 08:27,0.82,14329,Mumbai,4.1,0.205,Female,Ewallet
C579896,23456,Fresh Vegetables,2,01-12-2021 08:27,4.15,13971,Mumbai,8.3,0.415,Female,Ewallet
C579897,23382,Fresh Fruits,2,01-12-2021 08:29,3.75,17636,Mumbai,7.5,0.375,Male,Cash
C579897,23256,Biscuits,1,01-12-2021 08:29,4.15,17636,Mumbai,4.15,0.2075,Female,Credit card
C579897,23203,Cakes,1,01-12-2021 08:29,2.08,17636,Mumbai,2.08,0.104,Female,Cash
C579897,22470,Chocolates,2,01-12-2021 08:29,2.95,17636,Mumbai,5.9,0.295,Female,Credit card
C579898,22153,Eggs,1,01-12-2021 08:32,0.42,14299,Mumbai,0.42,0.021,Female,Credit card
C579898,22969,Cookies,1,01-12-2021 08:32,1.45,14299,Mumbai,1.45,0.0725,Male,Ewallet
579899,23301,Fresh Vegetables,24,01-12-2021 08:33,1.65,15687,Mumbai,39.6,1.98,Male,Ewallet
579899,22623,Chicken,3,01-12-2021 08:33,5.95,15687,Mumbai,17.85,0.8925,Female,Ewallet
579899,20970,Edible Oil & Ghee,4,01-12-2021 08:33,3.75,15687,Mumbai,15,0.75,Female,Credit card
579899,23562,Cakes,6,01-12-2021 08:33,2.89,15687,Mumbai,17.34,0.867,Female,Credit card
579899,71477,Health Drinks,4,01-12-2021 08:33,3.95,15687,Mumbai,15.8,0.79,Male,Cash
579899,23407,Mutton,2,01-12-2021 08:33,9.95,15687,Mumbai,19.9,0.995,Female,Ewallet
579899,22457,Soft Drinks,6,01-12-2021 08:33,2.95,15687,Mumbai,17.7,0.885,Male,Ewallet
579899,84347,Health Drinks,12,01-12-2021 08:33,2.55,15687,Mumbai,30.6,1.53,Female,Cash
579899,23129,Dals & Pulses,4,01-12-2021 08:33,4.15,15687,Mumbai,16.6,0.83,Male,Ewallet
579899,22577,Soft Drinks,24,01-12-2021 08:33,0.85,15687,Mumbai,20.4,1.02,Female,Cash
579899,22402,Organic Vegetables,24,01-12-2021 08:33,0.85,15687,Mumbai,20.4,1.02,Female,Ewallet
579899,22595,Eggs,24,01-12-2021 08:33,0.85,15687,Mumbai,20.4,1.02,Male,Ewallet
579900,23583,Chocolates,10,01-12-2021 08:34,1.65,15951,Mumbai,16.5,0.825,Female,Ewallet
579900,22467,Cookies,6,01-12-2021 08:34,2.55,15951,Mumbai,15.3,0.765,Male,Credit card
579900,23581,Biscuits,10,01-12-2021 08:34,2.08,15951,Mumbai,20.8,1.04,Male,Ewallet
579900,23298,Soft Drinks,3,01-12-2021 08:34,4.95,15951,Mumbai,14.85,0.7425,Male,Ewallet
579900,84946,Masalas,12,01-12-2021 08:34,1.25,15951,Mumbai,15,0.75,Male,Cash
579900,71477,Soft Drinks,8,01-12-2021 08:34,3.95,15951,Mumbai,31.6,1.58,Male,Ewallet
579900,84755,Noodles,16,01-12-2021 08:34,0.65,15951,Mumbai,10.4,0.52,Male,Cash
579900,23459,Edible Oil & Ghee,2,01-12-2021 08:34,12.5,15951,Mumbai,25,1.25,Male,Credit card
579900,23458,Masalas,2,01-12-2021 08:34,14.95,15951,Mumbai,29.9,1.495,Male,Credit card
579900,23405,Health Drinks,4,01-12-2021 08:34,4.95,15951,Mumbai,19.8,0.99,Male,Cash
579900,82484,Eggs,2,01-12-2021 08:34,7.95,15951,Mumbai,15.9,0.795,Male,Cash
579900,82482,Soft Drinks,6,01-12-2021 08:34,2.95,15951,Mumbai,17.7,0.885,Male,Cash
