InvoiceNo,StockCode,ProductsCategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Cities,Tax 5%,Total,Gender,Payment
542776,21671,Chocolates,48,01-02-2021 08:23,1.25,15240,Mumbai,60,3,Female,Ewallet
542776,21668,Cakes,12,01-02-2021 08:23,1.25,15240,Mumbai,15,0.75,Male,Credit card
542776,21670,Cakes,12,01-02-2021 08:23,1.25,15240,Mumbai,15,0.75,Female,Credit card
542776,17013D,Atta & Flour,96,01-02-2021 08:23,0.42,15240,Mumbai,40.32,2.016,Female,Ewallet
542776,17096,Cookies,48,01-02-2021 08:23,0.21,15240,Mumbai,10.08,0.504,Male,Credit card
542776,22469,Cookies,12,01-02-2021 08:23,1.65,15240,Mumbai,19.8,0.99,Male,Ewallet
542776,22077,Organic Fruits,12,01-02-2021 08:23,1.65,15240,Mumbai,19.8,0.99,Female,Credit card
542776,79321,Mutton,4,01-02-2021 08:23,4.95,15240,Mumbai,19.8,0.99,Male,Credit card
542776,21843,Cookies,1,01-02-2021 08:23,10.95,15240,Mumbai,10.95,0.5475,Female,Credit card
542776,22835,Chocolates,4,01-02-2021 08:23,4.65,15240,Mumbai,18.6,0.93,Male,Cash
542776,22083,Cakes,12,01-02-2021 08:23,2.95,15240,Mumbai,35.4,1.77,Female,Cash
542776,17021,Soft Drinks,36,01-02-2021 08:23,0.3,15240,Mumbai,10.8,0.54,Male,Ewallet
542776,21218,Fresh Fruits,6,01-02-2021 08:23,3.75,15240,Mumbai,22.5,1.125,Female,Ewallet
542776,21485,Soft Drinks,3,01-02-2021 08:23,4.95,15240,Mumbai,14.85,0.7425,Female,Ewallet
542777,22374,Health Drinks,4,01-02-2021 08:31,4.25,14911,Hyderabad,17,0.85,Male,Ewallet
542777,22371,Soft Drinks,4,01-02-2021 08:31,4.25,14911,Hyderabad,17,0.85,Female,Credit card
542777,20654,Atta & Flour,12,01-02-2021 08:31,1.25,14911,Hyderabad,15,0.75,Female,Ewallet
542777,20658,Health Drinks,12,01-02-2021 08:31,1.25,14911,Hyderabad,15,0.75,Male,Ewallet
542777,85039A,Organic Vegetables,12,01-02-2021 08:31,1.65,14911,Hyderabad,19.8,0.99,Male,Cash
542777,85040A,Mutton,12,01-02-2021 08:31,1.65,14911,Hyderabad,19.8,0.99,Male,Cash
542777,48129,Soft Drinks,2,01-02-2021 08:31,7.95,14911,Hyderabad,15.9,0.795,Female,Cash
542777,48116,Fish,2,01-02-2021 08:31,7.95,14911,Hyderabad,15.9,0.795,Female,Cash
542777,48194,Cookies,2,01-02-2021 08:31,7.95,14911,Hyderabad,15.9,0.795,Male,Ewallet
542777,22431,Dals & Pulses,6,01-02-2021 08:31,1.95,14911,Hyderabad,11.7,0.585,Female,Cash
542777,22433,Breads & Buns,6,01-02-2021 08:31,1.95,14911,Hyderabad,11.7,0.585,Male,Cash
542777,21257,Health Drinks,2,01-02-2021 08:31,7.95,14911,Hyderabad,15.9,0.795,Male,Ewallet
542777,21259,Rice,2,01-02-2021 08:31,5.95,14911,Hyderabad,11.9,0.595,Female,Credit card
