InvoiceNo,StockCode,ProductsCategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Cities,Tax 5%,Total,Gender,Payment
539993,22386,Biscuits,10,04-01-2021 10:00,1.95,13313,Mumbai,19.5,0.975,Male,Cash
539993,21499,Organic Fruits,25,04-01-2021 10:00,0.42,13313,Mumbai,10.5,0.525,Male,Ewallet
539993,21498,Soft Drinks,25,04-01-2021 10:00,0.42,13313,Mumbai,10.5,0.525,Female,Cash
539993,22379,Breads & Buns,5,04-01-2021 10:00,2.1,13313,Mumbai,10.5,0.525,Male,Credit card
539993,20718,Chicken,10,04-01-2021 10:00,1.25,13313,Mumbai,12.5,0.625,Female,Ewallet
539993,85099B,Soft Drinks,10,04-01-2021 10:00,1.95,13313,Mumbai,19.5,0.975,Male,Cash
539993,20682,Fish,6,04-01-2021 10:00,3.25,13313,Mumbai,19.5,0.975,Male,Ewallet
539993,22961,Masalas,12,04-01-2021 10:00,1.45,13313,Mumbai,17.4,0.87,Female,Cash
539993,22667,Breads & Buns,6,04-01-2021 10:00,2.95,13313,Mumbai,17.7,0.885,Male,Ewallet
539993,22898,Organic Staples,8,04-01-2021 10:00,1.95,13313,Mumbai,15.6,0.78,Female,Ewallet
539993,22896,Atta & Flour,6,04-01-2021 10:00,2.55,13313,Mumbai,15.3,0.765,Male,Credit card
539993,22303,Organic Fruits,6,04-01-2021 10:00,2.55,13313,Mumbai,15.3,0.765,Male,Ewallet
539993,22302,Chocolates,6,04-01-2021 10:00,2.55,13313,Mumbai,15.3,0.765,Male,Credit card
539993,85123A,Cakes,12,04-01-2021 10:00,2.95,13313,Mumbai,35.4,1.77,Male,Ewallet
539993,22808,Cakes,12,04-01-2021 10:00,2.95,13313,Mumbai,35.4,1.77,Female,Cash
539993,22458,Atta & Flour,8,04-01-2021 10:00,2.55,13313,Mumbai,20.4,1.02,Male,Cash
539993,22862,Cookies,4,04-01-2021 10:00,4.25,13313,Mumbai,17,0.85,Female,Cash
539994,22830,Cookies,-1,04-01-2021 10:09,0,,Mumbai,0,0,Female,Cash
539995,85064,Organic Fruits,-12,04-01-2021 10:12,0,,Mumbai,0,0,Male,Cash
539996,21784,Mutton,-10,04-01-2021 10:12,0,,Mumbai,0,0,Female,Credit card
539997,84689,Cookies,5,04-01-2021 10:15,0,,Mumbai,0,0,Female,Ewallet
539998,84675,Chocolates,2,04-01-2021 10:16,0,,Mumbai,0,0,Male,Ewallet
539999,20892,Cakes,-1,04-01-2021 10:16,0,,Mumbai,0,0,Male,Cash
540000,84499,Soft Drinks,-9,04-01-2021 10:17,0,,Mumbai,0,0,Female,Credit card
540001,21733,Fresh Fruits,32,04-01-2021 10:22,2.55,18097,Mumbai,81.6,4.08,Female,Ewallet
540001,22062,Soft Drinks,24,04-01-2021 10:22,2.95,18097,Mumbai,70.8,3.54,Female,Cash
540001,22060,Health Drinks,6,04-01-2021 10:22,9.95,18097,Mumbai,59.7,2.985,Male,Credit card
540001,22151,Soft Drinks,48,04-01-2021 10:22,0.42,18097,Mumbai,20.16,1.008,Female,Cash
540001,22508,Atta & Flour,16,04-01-2021 10:22,3.39,18097,Mumbai,54.24,2.712,Male,Credit card
540001,21411,Health Drinks,12,04-01-2021 10:22,4.25,18097,Mumbai,51,2.55,Male,Credit card
540001,22644,Organic Vegetables,60,04-01-2021 10:22,1.45,18097,Mumbai,87,4.35,Female,Ewallet
540001,70006,Mutton,48,04-01-2021 10:22,0.42,18097,Mumbai,20.16,1.008,Female,Ewallet
540001,21231,Soft Drinks,24,04-01-2021 10:22,1.25,18097,Mumbai,30,1.5,Male,Cash
540002,21911,Fish,12,04-01-2021 10:23,1.65,16656,Mumbai,19.8,0.99,Female,Credit card
540002,22625,Cookies,8,04-01-2021 10:23,8.5,16656,Mumbai,68,3.4,Male,Ewallet
540002,21259,Dals & Pulses,24,04-01-2021 10:23,4.95,16656,Mumbai,118.8,5.94,Male,Ewallet
540002,21790,Breads & Buns,144,04-01-2021 10:23,0.72,16656,Mumbai,103.68,5.184,Female,Credit card
540003,84970S,Health Drinks,12,04-01-2021 10:37,0.85,16875,Mumbai,10.2,0.51,Female,Ewallet
540003,22846,Rice,1,04-01-2021 10:37,16.95,16875,Mumbai,16.95,0.8475,Female,Credit card
540003,22624,Chocolates,2,04-01-2021 10:37,8.5,16875,Mumbai,17,0.85,Male,Credit card
540003,22767,Noodles,4,04-01-2021 10:37,9.95,16875,Mumbai,39.8,1.99,Female,Cash
540003,22963,Edible Oil & Ghee,12,04-01-2021 10:37,0.85,16875,Mumbai,10.2,0.51,Female,Credit card
540003,22962,Organic Fruits,12,04-01-2021 10:37,0.85,16875,Mumbai,10.2,0.51,Male,Cash
540003,22427,Breads & Buns,3,04-01-2021 10:37,5.95,16875,Mumbai,17.85,0.8925,Male,Credit card
540003,22796,Breads & Buns,2,04-01-2021 10:37,9.95,16875,Mumbai,19.9,0.995,Female,Ewallet
540003,22193,Masalas,2,04-01-2021 10:37,8.5,16875,Mumbai,17,0.85,Female,Credit card
540003,22191,Health Drinks,2,04-01-2021 10:37,8.5,16875,Mumbai,17,0.85,Female,Ewallet
540003,84970L,Eggs,12,04-01-2021 10:37,0.95,16875,Mumbai,11.4,0.57,Male,Credit card
540003,22907,Eggs,12,04-01-2021 10:37,0.85,16875,Mumbai,10.2,0.51,Male,Cash
540003,22768,Noodles,2,04-01-2021 10:37,9.95,16875,Mumbai,19.9,0.995,Female,Ewallet
540003,22961,Eggs,12,04-01-2021 10:37,1.45,16875,Mumbai,17.4,0.87,Male,Credit card
540003,22171,Breads & Buns,2,04-01-2021 10:37,8.5,16875,Mumbai,17,0.85,Female,Ewallet
540003,84978,Mutton,12,04-01-2021 10:37,1.25,16875,Mumbai,15,0.75,Male,Ewallet
540003,22776,Chicken,2,04-01-2021 10:37,9.95,16875,Mumbai,19.9,0.995,Male,Ewallet
540003,84378,Fresh Vegetables,12,04-01-2021 10:37,1.25,16875,Mumbai,15,0.75,Male,Ewallet
540003,22847,Masalas,1,04-01-2021 10:37,16.95,16875,Mumbai,16.95,0.8475,Male,Credit card
540003,22720,Eggs,3,04-01-2021 10:37,4.95,16875,Mumbai,14.85,0.7425,Female,Ewallet
540003,22457,Chicken,6,04-01-2021 10:37,2.95,16875,Mumbai,17.7,0.885,Male,Credit card
540003,22969,Cakes,12,04-01-2021 10:37,1.45,16875,Mumbai,17.4,0.87,Male,Ewallet
