InvoiceNo,StockCode,ProductsCategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Cities,Tax 5%,Total,Gender,Payment
558638,84836,Soft Drinks,12,01-07-2021 08:16,1.25,16317,Mumbai,15,0.75,Female,Cash
558638,71459,Cakes,24,01-07-2021 08:16,0.85,16317,Mumbai,20.4,1.02,Female,Ewallet
558638,22784,Edible Oil & Ghee,3,01-07-2021 08:16,4.95,16317,Mumbai,14.85,0.7425,Male,Cash
558638,23145,Fish,12,01-07-2021 08:16,0.95,16317,Mumbai,11.4,0.57,Female,Credit card
558638,22674,Dals & Pulses,12,01-07-2021 08:16,1.25,16317,Mumbai,15,0.75,Female,Credit card
558638,21174,Dals & Pulses,12,01-07-2021 08:16,2.08,16317,Mumbai,24.96,1.248,Female,Ewallet
558638,22413,Chicken,6,01-07-2021 08:16,2.95,16317,Mumbai,17.7,0.885,Male,Credit card
558638,22726,Health Drinks,4,01-07-2021 08:16,3.75,16317,Mumbai,15,0.75,Male,Credit card
558638,23032,Masalas,18,01-07-2021 08:16,1.65,16317,Mumbai,29.7,1.485,Male,Ewallet
558638,23251,Masalas,12,01-07-2021 08:16,1.25,16317,Mumbai,15,0.75,Male,Cash
558638,23245,Eggs,4,01-07-2021 08:16,4.95,16317,Mumbai,19.8,0.99,Female,Ewallet
558638,23173,Cakes,4,01-07-2021 08:16,9.95,16317,Mumbai,39.8,1.99,Male,Cash
558638,22423,Breads & Buns,2,01-07-2021 08:16,12.75,16317,Mumbai,25.5,1.275,Female,Cash
558638,23170,Soft Drinks,12,01-07-2021 08:16,1.65,16317,Mumbai,19.8,0.99,Female,Credit card
558638,23162,Spices,4,01-07-2021 08:16,3.75,16317,Mumbai,15,0.75,Female,Cash
558638,23163,Noodles,8,01-07-2021 08:16,2.49,16317,Mumbai,19.92,0.996,Female,Ewallet
558638,23160,Cookies,12,01-07-2021 08:16,1.25,16317,Mumbai,15,0.75,Male,Ewallet
558638,23299,Noodles,6,01-07-2021 08:16,3.75,16317,Mumbai,22.5,1.125,Male,Credit card
558638,22720,Edible Oil & Ghee,3,01-07-2021 08:16,4.95,16317,Mumbai,14.85,0.7425,Female,Cash
558638,23243,Cakes,4,01-07-2021 08:16,4.95,16317,Mumbai,19.8,0.99,Male,Credit card
558638,23240,Health Drinks,6,01-07-2021 08:16,4.15,16317,Mumbai,24.9,1.245,Male,Credit card
558638,23233,Chocolates,50,01-07-2021 08:16,0.42,16317,Mumbai,21,1.05,Female,Ewallet
558638,23108,Organic Staples,2,01-07-2021 08:16,6.25,16317,Mumbai,12.5,0.625,Male,Ewallet
558638,23307,Cakes,24,01-07-2021 08:16,0.55,16317,Mumbai,13.2,0.66,Female,Credit card
