InvoiceNo,StockCode,ProductsCategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Cities,Tax 5%,Total,Gender,Payment
555156,23299,Cakes,6,01-06-2021 07:37,3.75,15643,Mumbai,22.5,1.125,Female,Cash
555156,22847,Noodles,1,01-06-2021 07:37,16.95,15643,Mumbai,16.95,0.8475,Female,Credit card
555157,23075,Atta & Flour,16,01-06-2021 07:38,4.15,15643,Mumbai,66.4,3.32,Female,Cash
555157,47590B,Biscuits,6,01-06-2021 07:38,5.45,15643,Mumbai,32.7,1.635,Male,Cash
555157,22423,Fish,4,01-06-2021 07:38,12.75,15643,Mumbai,51,2.55,Male,Credit card
555157,47590A,Fresh Fruits,6,01-06-2021 07:38,5.45,15643,Mumbai,32.7,1.635,Female,Ewallet
555157,22849,Eggs,1,01-06-2021 07:38,16.95,15643,Mumbai,16.95,0.8475,Male,Ewallet
555157,47566,Fish,8,01-06-2021 07:38,4.95,15643,Mumbai,39.6,1.98,Male,Ewallet
555157,82580,Breads & Buns,12,01-06-2021 07:38,0.55,15643,Mumbai,6.6,0.33,Female,Ewallet
555157,23169,Noodles,10,01-06-2021 07:38,4.15,15643,Mumbai,41.5,2.075,Male,Ewallet
555158,22466,Organic Fruits,12,01-06-2021 08:38,1.95,14842,Mumbai,23.4,1.17,Male,Cash
555158,22179,Soft Drinks,4,01-06-2021 08:38,6.75,14842,Mumbai,27,1.35,Male,Ewallet
555158,23082,Soft Drinks,6,01-06-2021 08:38,3.75,14842,Mumbai,22.5,1.125,Female,Cash
555158,23083,Breads & Buns,6,01-06-2021 08:38,3.75,14842,Mumbai,22.5,1.125,Male,Cash
555158,22468,Chocolates,4,01-06-2021 08:38,6.75,14842,Mumbai,27,1.35,Female,Cash
555158,22084,Soft Drinks,6,01-06-2021 08:38,2.95,14842,Mumbai,17.7,0.885,Female,Cash
555158,22083,Fresh Vegetables,6,01-06-2021 08:38,2.95,14842,Mumbai,17.7,0.885,Female,Cash
555158,23108,Health Drinks,12,01-06-2021 08:38,5.39,14842,Mumbai,64.68,3.234,Male,Credit card
555158,20749,Biscuits,2,01-06-2021 08:38,7.95,14842,Mumbai,15.9,0.795,Female,Ewallet
555158,22138,Organic Staples,3,01-06-2021 08:38,4.95,14842,Mumbai,14.85,0.7425,Male,Credit card
555158,22492,Chocolates,36,01-06-2021 08:38,0.65,14842,Mumbai,23.4,1.17,Male,Ewallet
555158,22570,Cookies,4,01-06-2021 08:38,3.75,14842,Mumbai,15,0.75,Female,Cash
555158,22568,Cakes,4,01-06-2021 08:38,3.75,14842,Mumbai,15,0.75,Female,Cash
555158,22274,Breads & Buns,6,01-06-2021 08:38,2.95,14842,Mumbai,17.7,0.885,Male,Ewallet
555158,22273,Dals & Pulses,6,01-06-2021 08:38,2.95,14842,Mumbai,17.7,0.885,Male,Credit card
555158,20970,Chicken,4,01-06-2021 08:38,3.75,14842,Mumbai,15,0.75,Female,Ewallet
