InvoiceNo,StockCode,ProductsCategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Cities,Tax 5%,Total,Gender,Payment
545220,21955,Cookies,2,01-03-2021 08:30,7.95,14620,Mumbai,15.9,0.795,Male,Credit card
545220,48194,Masalas,2,01-03-2021 08:30,7.95,14620,Mumbai,15.9,0.795,Male,Ewallet
545220,22556,Atta & Flour,12,01-03-2021 08:30,1.65,14620,Mumbai,19.8,0.99,Male,Cash
545220,22139,Rice,3,01-03-2021 08:30,4.95,14620,Mumbai,14.85,0.7425,Female,Credit card
545220,84029G,Fresh Fruits,4,01-03-2021 08:30,3.75,14620,Mumbai,15,0.75,Male,Credit card
545220,21485,Soft Drinks,3,01-03-2021 08:30,4.95,14620,Mumbai,14.85,0.7425,Male,Credit card
545220,17091J,Eggs,6,01-03-2021 08:30,1.25,14620,Mumbai,7.5,0.375,Male,Ewallet
545220,84678,Cakes,6,01-03-2021 08:30,2.55,14620,Mumbai,15.3,0.765,Male,Cash
545220,21700,Cookies,12,01-03-2021 08:30,0.85,14620,Mumbai,10.2,0.51,Male,Ewallet
545220,22191,Edible Oil & Ghee,2,01-03-2021 08:30,8.5,14620,Mumbai,17,0.85,Female,Cash
545220,22192,Breads & Buns,2,01-03-2021 08:30,8.5,14620,Mumbai,17,0.85,Male,Ewallet
545220,21624,Fish,3,01-03-2021 08:30,5.95,14620,Mumbai,17.85,0.8925,Male,Cash
545220,20829,Dals & Pulses,8,01-03-2021 08:30,2.1,14620,Mumbai,16.8,0.84,Male,Cash
545220,22960,Cookies,6,01-03-2021 08:30,4.25,14620,Mumbai,25.5,1.275,Male,Cash
545220,21259,Soft Drinks,2,01-03-2021 08:30,5.95,14620,Mumbai,11.9,0.595,Male,Credit card
545221,22021,Dals & Pulses,6,01-03-2021 08:35,1.65,14740,Mumbai,9.9,0.495,Male,Credit card
545221,85206A,Health Drinks,6,01-03-2021 08:35,1.65,14740,Mumbai,9.9,0.495,Male,Cash
545221,22967,Fish,6,01-03-2021 08:35,2.95,14740,Mumbai,17.7,0.885,Female,Credit card
545221,22925,Organic Fruits,2,01-03-2021 08:35,5.95,14740,Mumbai,11.9,0.595,Female,Cash
545221,21896,Breads & Buns,6,01-03-2021 08:35,2.1,14740,Mumbai,12.6,0.63,Female,Cash
545221,22960,Organic Staples,6,01-03-2021 08:35,4.25,14740,Mumbai,25.5,1.275,Female,Credit card
545221,20969,Cakes,4,01-03-2021 08:35,3.75,14740,Mumbai,15,0.75,Male,Credit card
545221,22568,Soft Drinks,4,01-03-2021 08:35,3.75,14740,Mumbai,15,0.75,Female,Cash
545221,22749,Health Drinks,4,01-03-2021 08:35,3.75,14740,Mumbai,15,0.75,Male,Ewallet
545221,22751,Noodles,4,01-03-2021 08:35,3.75,14740,Mumbai,15,0.75,Female,Cash
545221,22587,Organic Vegetables,12,01-03-2021 08:35,0.85,14740,Mumbai,10.2,0.51,Male,Credit card
545221,22565,Rice,12,01-03-2021 08:35,0.85,14740,Mumbai,10.2,0.51,Female,Cash
545221,84279B,Fresh Fruits,8,01-03-2021 08:35,3.75,14740,Mumbai,30,1.5,Female,Ewallet
545221,21422,Organic Staples,16,01-03-2021 08:35,0.85,14740,Mumbai,13.6,0.68,Female,Cash
545221,20979,Soft Drinks,16,01-03-2021 08:35,1.25,14740,Mumbai,20,1,Female,Cash
545221,20978,Breads & Buns,16,01-03-2021 08:35,1.25,14740,Mumbai,20,1,Female,Cash
545221,46000S,Noodles,10,01-03-2021 08:35,1.45,14740,Mumbai,14.5,0.725,Female,Cash
